https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume MATIC,Volume BRL,tradecount
1638921600000,2021-12-08,MATICBRL,13.232,14.431,12.666,13.572,708188.7,9674693.6903,5456
1638835200000,2021-12-07,MATICBRL,13.133,14.352,12.853,13.252,903337.31,12155051.3729,5511
1638748800000,2021-12-06,MATICBRL,11.757,13.32,9.834,13.1,826039.4,9588093.8301,4258
1638662400000,2021-12-05,MATICBRL,11.454,12.688,10.88,11.75,507336.3,5987354.4729,3019
1638576000000,2021-12-04,MATICBRL,13.031,13.28,9.046,11.395,807778.1,9026170.3304,5434
1638489600000,2021-12-03,MATICBRL,12.167,13.579,11.875,13.013,717820.6,9173556.7734,5123
1638403200000,2021-12-02,MATICBRL,11.471,12.687,11.11,12.135,897522.6,10767491.4457,5579
1638316800000,2021-12-01,MATICBRL,10.118,11.869,10.072,11.503,445960.1,4979952.1286,3518
1638230400000,2021-11-30,MATICBRL,10.303,10.635,9.623,10.127,190584.9,1941567.5121,1957
1638144000000,2021-11-29,MATICBRL,9.366,10.396,9.199,10.303,159731.6,1557657.4087,1583
1638057600000,2021-11-28,MATICBRL,9.1,9.461,8.55,9.366,122290.1,1098590.8529,972
1637971200000,2021-11-27,MATICBRL,9.31,9.8,9.045,9.143,137531.3,1293254.1541,853
1637884800000,2021-11-26,MATICBRL,10.939,11.112,9.115,9.308,337475.3,3293187.9716,2281
1637798400000,2021-11-25,MATICBRL,9.574,10.948,9.494,10.893,328062.6,3404332.1284,2281
1637712000000,2021-11-24,MATICBRL,9.921,10.35,9.38,9.574,149129.9,1459475.0759,1519
1637625600000,2021-11-23,MATICBRL,8.852,9.989,8.75,9.924,141741.5,1357438.6784,1344
1637539200000,2021-11-22,MATICBRL,9.108,9.117,8.69,8.833,64254.5,569654.7954,752
1637452800000,2021-11-21,MATICBRL,9.455,9.48,9.085,9.101,50830.2,471185.3664,541
1637366400000,2021-11-20,MATICBRL,9.196,9.544,8.888,9.433,87830.3,810497.2492,902
1637280000000,2021-11-19,MATICBRL,8.46,9.185,8.361,9.185,79290.0,706527.1132,965
1637193600000,2021-11-18,MATICBRL,9.134,9.4,8.11,8.43,112943.8,988516.2104,1033
1637107200000,2021-11-17,MATICBRL,8.72,9.329,8.328,9.123,129260.3,1140962.4803,857
1637020800000,2021-11-16,MATICBRL,9.364,9.364,8.23,8.75,246821.3,2155765.9157,1595
1636934400000,2021-11-15,MATICBRL,9.546,9.721,9.362,9.383,102244.0,974530.6479,705
1636848000000,2021-11-14,MATICBRL,9.717,9.817,9.354,9.534,52780.2,505450.2806,561
1636761600000,2021-11-13,MATICBRL,9.518,9.805,9.412,9.708,47059.1,451482.2346,633
1636675200000,2021-11-12,MATICBRL,9.641,9.759,9.028,9.496,83506.9,778897.4399,872
1636588800000,2021-11-11,MATICBRL,9.455,9.908,9.29,9.628,94507.6,907160.5616,1050
1636502400000,2021-11-10,MATICBRL,9.86,10.45,8.601,9.521,291251.6,2833768.3798,2158
1636416000000,2021-11-09,MATICBRL,10.533,10.559,9.765,9.856,245999.0,2498518.6055,1853
1636329600000,2021-11-08,MATICBRL,10.567,10.844,10.433,10.568,112100.6,1183610.6618,1338
1636243200000,2021-11-07,MATICBRL,10.579,10.766,10.418,10.574,42294.6,449557.0205,766
1636156800000,2021-11-06,MATICBRL,10.65,10.8,10.185,10.594,68528.5,719935.4128,857
1636070400000,2021-11-05,MATICBRL,10.84,11.027,10.478,10.671,117016.2,1253170.9876,1347
1635984000000,2021-11-04,MATICBRL,11.472,11.491,10.601,10.861,123500.9,1356058.9146,1715
1635897600000,2021-11-03,MATICBRL,11.053,12.293,11.049,11.453,291469.3,3395257.9912,3277
1635811200000,2021-11-02,MATICBRL,10.901,11.242,10.673,11.049,158712.3,1736778.8853,1895
1635724800000,2021-11-01,MATICBRL,11.058,11.231,10.51,10.901,128799.3,1401970.154,1608
1635638400000,2021-10-31,MATICBRL,10.636,11.291,10.28,11.052,159294.0,1720134.9116,1757
1635552000000,2021-10-30,MATICBRL,11.55,11.55,10.464,10.646,169459.0,1860425.3474,2456
1635465600000,2021-10-29,MATICBRL,12.157,12.622,10.94,11.525,420023.9,4886636.7016,4451
1635379200000,2021-10-28,MATICBRL,9.946,12.391,9.946,12.126,557124.05,6203422.27569,4733
1635292800000,2021-10-27,MATICBRL,9.774,10.85,9.08,9.882,448959.46,4498842.9979,3828
1635206400000,2021-10-26,MATICBRL,9.38,10.451,9.301,9.75,283277.29,2819428.98866,2634
1635120000000,2021-10-25,MATICBRL,8.955,9.46,8.901,9.397,162815.2,1511198.5393,1425
1635033600000,2021-10-24,MATICBRL,9.316,9.337,8.649,8.96,129284.1,1169486.7418,1472
1634947200000,2021-10-23,MATICBRL,8.628,9.527,8.519,9.323,257322.08,2366390.40309,1946
1634860800000,2021-10-22,MATICBRL,8.548,8.98,8.509,8.628,149387.7,1304835.8713,1441
1634774400000,2021-10-21,MATICBRL,8.6,9.129,8.412,8.53,212102.5,1852464.4382,1747
1634688000000,2021-10-20,MATICBRL,8.227,8.652,8.078,8.576,142508.6,1196286.1399,1267
