https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume ADA,Volume BRL,tradecount
1683676800000,2023-05-10,ADABRL,1.823,1.863,1.785,1.845,486255.4,887191.8346,1625
1683590400000,2023-05-09,ADABRL,1.842,1.865,1.808,1.823,235404.8,431409.4566,890
1683504000000,2023-05-08,ADABRL,1.888,1.904,1.777,1.842,413358.3,760164.7897,1604
1683417600000,2023-05-07,ADABRL,1.901,1.923,1.878,1.886,156463.1,297433.4177,639
1683331200000,2023-05-06,ADABRL,1.964,1.972,1.873,1.902,274754.2,525922.7569,994
1683244800000,2023-05-05,ADABRL,1.94,1.979,1.923,1.964,444948.8,868625.9002,1095
1683158400000,2023-05-04,ADABRL,1.978,1.985,1.924,1.938,366982.8,717158.7154,1045
1683072000000,2023-05-03,ADABRL,1.986,1.99,1.912,1.979,449697.1,873255.246,1444
1682985600000,2023-05-02,ADABRL,1.954,2.002,1.93,1.985,278171.2,546589.7266,1174
1682899200000,2023-05-01,ADABRL,1.991,2.001,1.926,1.954,296396.5,579536.2491,1161
1682812800000,2023-04-30,ADABRL,2.024,2.08,1.985,1.99,221450.1,447564.6317,847
1682726400000,2023-04-29,ADABRL,2.036,2.054,2.003,2.022,192657.9,391505.5575,715
1682640000000,2023-04-28,ADABRL,2.055,2.057,2.002,2.037,322102.7,654551.6179,1043
1682553600000,2023-04-27,ADABRL,2.041,2.096,2.029,2.054,367620.2,760261.3846,1404
1682467200000,2023-04-26,ADABRL,2.006,2.115,1.937,2.041,837260.3,1711014.0222,2227
1682380800000,2023-04-25,ADABRL,1.946,2.01,1.909,2.008,319339.0,624089.1957,1148
1682294400000,2023-04-24,ADABRL,1.989,2.028,1.936,1.948,306911.0,606316.8405,1216
1682208000000,2023-04-23,ADABRL,2.028,2.028,1.95,1.99,211321.3,419712.8616,856
1682121600000,2023-04-22,ADABRL,1.958,2.045,1.95,2.031,235782.7,473278.3082,945
1682035200000,2023-04-21,ADABRL,2.037,2.073,1.943,1.96,758810.9,1517180.1068,1646
1681948800000,2023-04-20,ADABRL,2.135,2.163,2.007,2.038,559096.1,1164741.5808,1809
1681862400000,2023-04-19,ADABRL,2.217,2.217,2.05,2.134,686495.6,1460791.0332,1957
1681776000000,2023-04-18,ADABRL,2.159,2.227,2.137,2.221,423812.7,932259.5153,1335
1681689600000,2023-04-17,ADABRL,2.251,2.251,2.147,2.159,772463.5,1689922.9997,1775
1681603200000,2023-04-16,ADABRL,2.26,2.284,2.21,2.249,421201.2,945337.3674,1272
1681516800000,2023-04-15,ADABRL,2.169,2.29,2.133,2.259,707159.4,1585113.0719,2087
1681430400000,2023-04-14,ADABRL,2.109,2.2,2.09,2.169,957406.5,2061301.7818,2915
1681344000000,2023-04-13,ADABRL,2.007,2.118,1.986,2.107,637168.2,1313570.5289,1891
1681257600000,2023-04-12,ADABRL,2.022,2.031,1.96,2.007,503769.6,1006588.4482,1449
1681171200000,2023-04-11,ADABRL,2.018,2.09,2.002,2.019,634482.2,1295018.9946,1970
1681084800000,2023-04-10,ADABRL,1.979,2.021,1.959,2.017,371533.1,739433.4995,1302
1680998400000,2023-04-09,ADABRL,1.965,2.002,1.96,1.981,216999.9,430395.9978,750
1680912000000,2023-04-08,ADABRL,1.955,1.989,1.94,1.964,215454.9,424982.1556,732
1680825600000,2023-04-07,ADABRL,1.95,1.964,1.916,1.953,145040.3,281929.3747,686
1680739200000,2023-04-06,ADABRL,1.985,1.985,1.92,1.949,378260.5,738865.6014,1177
1680652800000,2023-04-05,ADABRL,1.987,2.037,1.972,1.987,382565.4,765898.0231,1205
1680566400000,2023-04-04,ADABRL,1.977,2.04,1.964,1.988,454607.4,909612.4447,1219
1680480000000,2023-04-03,ADABRL,1.957,2.07,1.913,1.973,692222.9,1373916.6681,1694
1680393600000,2023-04-02,ADABRL,2.004,2.009,1.93,1.955,278716.8,545422.547,896
1680307200000,2023-04-01,ADABRL,2.036,2.057,1.988,2.005,330127.5,663839.7278,1046
1680220800000,2023-03-31,ADABRL,1.938,2.087,1.927,2.04,1484103.5,3028799.7989,2491
1680134400000,2023-03-30,ADABRL,1.971,1.995,1.906,1.938,497003.2,968124.0659,1286
1680048000000,2023-03-29,ADABRL,1.916,2.024,1.91,1.97,648480.5,1287595.1818,1684
1679961600000,2023-03-28,ADABRL,1.819,1.926,1.806,1.917,486931.4,913364.4621,1091
1679875200000,2023-03-27,ADABRL,1.885,1.891,1.783,1.82,459468.5,836067.7989,1432
1679788800000,2023-03-26,ADABRL,1.862,1.911,1.849,1.882,218604.2,412052.9349,645
1679702400000,2023-03-25,ADABRL,1.903,1.919,1.853,1.864,219513.9,413287.7917,755
1679616000000,2023-03-24,ADABRL,1.969,1.974,1.885,1.906,422867.2,814412.7222,1167
1679529600000,2023-03-23,ADABRL,1.905,2.044,1.87,1.972,629397.1,1241323.2266,1662
1679443200000,2023-03-22,ADABRL,1.959,2.045,1.843,1.904,987970.6,1935855.0533,2713
1679356800000,2023-03-21,ADABRL,1.76,2.043,1.747,1.955,1382004.0,2641134.3975,3213
1679270400000,2023-03-20,ADABRL,1.828,1.831,1.75,1.758,531322.6,949925.9061,1389
1679184000000,2023-03-19,ADABRL,1.78,1.863,1.78,1.824,457903.1,836894.6084,1149
1679097600000,2023-03-18,ADABRL,1.855,1.891,1.77,1.778,789536.8,1454326.5315,1889
1679011200000,2023-03-17,ADABRL,1.712,1.859,1.696,1.858,802844.5,1432156.2024,1950
1678924800000,2023-03-16,ADABRL,1.719,1.744,1.688,1.711,381990.3,655732.6734,1264
1678838400000,2023-03-15,ADABRL,1.813,1.826,1.685,1.721,745074.6,1308682.2155,1944
1678752000000,2023-03-14,ADABRL,1.798,1.928,1.768,1.813,1181195.2,2180960.9768,3105
1678665600000,2023-03-13,ADABRL,1.709,1.87,1.694,1.795,1300326.9,2303753.8374,2890
1678579200000,2023-03-12,ADABRL,1.559,1.708,1.545,1.705,466589.2,755081.3701,1400
1678492800000,2023-03-11,ADABRL,1.653,1.698,1.553,1.559,544360.6,878276.5589,1480
1678406400000,2023-03-10,ADABRL,1.611,1.666,1.547,1.654,660863.8,1064895.7009,1683
1678320000000,2023-03-09,ADABRL,1.646,1.664,1.566,1.613,729216.0,1173619.9556,1561
1678233600000,2023-03-08,ADABRL,1.73,1.737,1.63,1.645,481837.6,804408.0558,1390
1678147200000,2023-03-07,ADABRL,1.716,1.736,1.679,1.728,384763.2,659175.1169,1088
1678060800000,2023-03-06,ADABRL,1.762,1.771,1.711,1.715,312453.9,542373.5809,1036
1677974400000,2023-03-05,ADABRL,1.763,1.791,1.752,1.759,152664.6,270274.2339,686
1677888000000,2023-03-04,ADABRL,1.798,1.804,1.73,1.763,258059.9,456779.8226,774
1677801600000,2023-03-03,ADABRL,1.832,1.895,1.695,1.799,1212688.2,2155332.4149,1936
1677715200000,2023-03-02,ADABRL,1.879,1.883,1.8,1.831,451484.4,828033.6067,1295
1677628800000,2023-03-01,ADABRL,1.842,1.9,1.83,1.879,503493.3,946252.3593,1516
1677542400000,2023-02-28,ADABRL,1.903,1.918,1.831,1.84,374873.8,703016.1673,1303
1677456000000,2023-02-27,ADABRL,1.926,1.928,1.866,1.902,325536.0,617367.2566,1067
1677369600000,2023-02-26,ADABRL,1.89,1.932,1.868,1.926,222691.6,423467.4921,812
1677283200000,2023-02-25,ADABRL,1.914,1.917,1.838,1.89,299268.2,562359.0198,1026
1677196800000,2023-02-24,ADABRL,1.973,1.995,1.877,1.91,688833.8,1334297.1171,1817
1677110400000,2023-02-23,ADABRL,2.018,2.046,1.962,1.977,453062.6,907643.9254,1629
1677024000000,2023-02-22,ADABRL,2.048,2.048,1.968,2.019,530283.9,1060540.2952,1675
1676937600000,2023-02-21,ADABRL,2.097,2.106,2.015,2.045,400570.2,823478.7116,1246
1676851200000,2023-02-20,ADABRL,2.09,2.134,2.039,2.1,419123.6,882190.1294,1254
1676764800000,2023-02-19,ADABRL,2.113,2.142,2.074,2.088,319429.4,674520.6404,936
1676678400000,2023-02-18,ADABRL,2.098,2.175,2.067,2.113,344356.2,729287.1939,1057
1676592000000,2023-02-17,ADABRL,2.022,2.147,2.015,2.096,677568.5,1413489.7432,1582
1676505600000,2023-02-16,ADABRL,2.175,2.182,2.018,2.023,935014.6,1976206.3145,2497
1676419200000,2023-02-15,ADABRL,2.014,2.178,1.991,2.176,1500963.7,3122985.1009,2344
1676332800000,2023-02-14,ADABRL,1.869,2.053,1.842,2.015,834463.7,1629171.7511,1830
1676246400000,2023-02-13,ADABRL,1.918,1.927,1.798,1.87,586753.2,1083769.5233,1415
1676160000000,2023-02-12,ADABRL,1.939,1.966,1.893,1.922,292676.5,566653.9859,901
