https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume XRP,Volume BRL,tradecount
1642809600000,2022-01-22,XRPBRL,3.505,3.601,3.042,3.298,2537496.0,8297360.523,5947
1642723200000,2022-01-21,XRPBRL,3.951,3.993,3.38,3.516,1985905.0,7200995.944,5062
1642636800000,2022-01-20,XRPBRL,4.068,4.155,3.933,3.946,358916.0,1464156.545,2254
1642550400000,2022-01-19,XRPBRL,4.214,4.215,4.045,4.065,388403.0,1595062.472,1285
1642464000000,2022-01-18,XRPBRL,4.247,4.28,4.108,4.212,388874.0,1626298.177,1369
1642377600000,2022-01-17,XRPBRL,4.354,4.359,4.17,4.242,516315.0,2190551.829,1596
1642291200000,2022-01-16,XRPBRL,4.356,4.379,4.3,4.354,339054.0,1474693.304,731
1642204800000,2022-01-15,XRPBRL,4.318,4.407,4.295,4.355,167249.0,729508.551,911
1642118400000,2022-01-14,XRPBRL,4.288,4.4,4.189,4.318,406976.0,1756103.677,1519
1642032000000,2022-01-13,XRPBRL,4.455,4.478,4.243,4.288,349780.0,1523691.108,1322
1641945600000,2022-01-12,XRPBRL,4.341,4.503,4.266,4.462,620385.0,2731663.7,1926
1641859200000,2022-01-11,XRPBRL,4.223,4.375,4.165,4.339,567562.0,2420646.016,2285
1641772800000,2022-01-10,XRPBRL,4.285,4.442,4.004,4.223,792828.0,3300922.763,2676
1641686400000,2022-01-09,XRPBRL,4.252,4.368,4.205,4.292,155434.0,665974.432,882
1641600000000,2022-01-08,XRPBRL,4.347,4.413,4.125,4.251,371087.0,1577055.401,1788
1641513600000,2022-01-07,XRPBRL,4.475,4.479,4.194,4.339,509059.0,2200009.243,2157
1641427200000,2022-01-06,XRPBRL,4.455,4.568,4.269,4.486,573834.0,2523462.342,2528
1641340800000,2022-01-05,XRPBRL,4.705,4.773,4.131,4.455,860221.0,3899010.65,3243
1641254400000,2022-01-04,XRPBRL,4.74,4.796,4.664,4.705,259260.0,1227091.109,1367
1641168000000,2022-01-03,XRPBRL,4.837,4.837,4.676,4.74,305956.0,1451806.827,1400
1641081600000,2022-01-02,XRPBRL,4.787,4.882,4.725,4.842,211940.0,1019862.275,1140
1640995200000,2022-01-01,XRPBRL,4.688,4.82,4.688,4.792,115509.0,549052.942,810
1640908800000,2021-12-31,XRPBRL,4.723,4.797,4.534,4.677,379795.0,1780097.959,1942
1640822400000,2021-12-30,XRPBRL,4.701,4.892,4.62,4.732,477279.0,2268981.516,2030
1640736000000,2021-12-29,XRPBRL,4.856,4.916,4.624,4.701,800708.0,3824013.75,2496
1640649600000,2021-12-28,XRPBRL,5.265,5.265,4.812,4.84,617777.0,3105112.094,2787
1640563200000,2021-12-27,XRPBRL,5.266,5.43,5.21,5.258,405560.0,2154976.872,1965
1640476800000,2021-12-26,XRPBRL,5.28,5.333,5.187,5.255,206024.0,1082242.604,1244
1640390400000,2021-12-25,XRPBRL,5.205,5.341,5.135,5.289,368812.0,1940866.547,1678
1640304000000,2021-12-24,XRPBRL,5.657,5.68,5.135,5.209,1648426.0,8897927.796,4762
1640217600000,2021-12-23,XRPBRL,5.442,5.788,5.303,5.667,1662588.0,9335708.63,5142
1640131200000,2021-12-22,XRPBRL,5.444,5.58,5.286,5.435,933220.0,5079522.973,3582
1640044800000,2021-12-21,XRPBRL,5.053,5.515,4.884,5.436,1404098.0,7304101.171,4145
1639958400000,2021-12-20,XRPBRL,4.764,5.23,4.73,5.043,1744798.0,8679206.315,4989
1639872000000,2021-12-19,XRPBRL,4.718,4.853,4.679,4.78,535935.0,2547827.407,1585
1639785600000,2021-12-18,XRPBRL,4.547,4.75,4.51,4.722,359643.0,1678020.102,1319
1639699200000,2021-12-17,XRPBRL,4.615,4.775,4.461,4.54,688890.0,3177795.703,2242
1639612800000,2021-12-16,XRPBRL,4.723,4.794,4.607,4.622,475533.0,2243794.11,1601
1639526400000,2021-12-15,XRPBRL,4.637,4.813,4.47,4.723,655147.0,3044609.83,2589
1639440000000,2021-12-14,XRPBRL,4.482,4.7,4.419,4.633,736170.0,3361228.997,2102
1639353600000,2021-12-13,XRPBRL,4.758,4.779,4.356,4.481,927440.0,4198613.508,2780
1639267200000,2021-12-12,XRPBRL,4.752,4.851,4.589,4.762,204223.0,961996.0,1186
1639180800000,2021-12-11,XRPBRL,4.534,4.777,4.457,4.748,540049.0,2509908.681,1659
1639094400000,2021-12-10,XRPBRL,4.858,4.982,4.492,4.539,1020216.0,4816698.549,3418
1639008000000,2021-12-09,XRPBRL,4.837,5.239,4.672,4.854,2549859.0,12782586.673,5942
1638921600000,2021-12-08,XRPBRL,4.607,4.95,4.544,4.832,845763.0,4025453.562,3133
1638835200000,2021-12-07,XRPBRL,4.746,4.861,4.542,4.611,540245.0,2553030.521,2396
1638748800000,2021-12-06,XRPBRL,4.623,4.773,4.3,4.75,1085898.0,4889178.169,3889
1638662400000,2021-12-05,XRPBRL,4.874,4.962,4.405,4.623,1489528.0,6900958.732,4354
1638576000000,2021-12-04,XRPBRL,5.291,5.304,3.398,4.89,3392712.75,15037868.35068,11204
1638489600000,2021-12-03,XRPBRL,5.547,5.608,5.148,5.282,591658.0,3204230.522,2209
1638403200000,2021-12-02,XRPBRL,5.667,5.667,5.484,5.549,405432.0,2255360.534,1692
1638316800000,2021-12-01,XRPBRL,5.672,5.762,5.62,5.666,422754.0,2408231.235,1987
1638230400000,2021-11-30,XRPBRL,5.616,5.803,5.496,5.667,661343.0,3767357.325,2704
1638144000000,2021-11-29,XRPBRL,5.5,5.67,5.46,5.611,456771.0,2539228.308,2148
1638057600000,2021-11-28,XRPBRL,5.367,5.5,5.044,5.5,526936.0,2749312.356,2467
1637971200000,2021-11-27,XRPBRL,5.342,5.477,5.321,5.359,303878.0,1646040.847,1603
1637884800000,2021-11-26,XRPBRL,5.905,5.917,5.22,5.347,1986287.0,10804903.78,6108
1637798400000,2021-11-25,XRPBRL,5.87,6.002,5.801,5.896,657719.0,3897589.98,3129
1637712000000,2021-11-24,XRPBRL,6.044,6.079,5.712,5.862,635531.0,3708154.508,2611
1637625600000,2021-11-23,XRPBRL,5.874,6.066,5.783,6.038,537023.0,3193651.256,2138
1637539200000,2021-11-22,XRPBRL,6.024,6.029,5.814,5.875,582060.0,3444833.771,2323
1637452800000,2021-11-21,XRPBRL,6.228,6.233,6.01,6.03,420335.0,2574707.643,1448
1637366400000,2021-11-20,XRPBRL,6.18,6.259,6.035,6.224,468489.0,2884414.238,1703
1637280000000,2021-11-19,XRPBRL,5.88,6.199,5.75,6.18,938542.0,5658342.96,2857
1637193600000,2021-11-18,XRPBRL,6.117,6.495,5.703,5.885,1685996.0,10332145.143,4225
1637107200000,2021-11-17,XRPBRL,6.08,6.2,5.932,6.117,625343.0,3795960.822,2275
1637020800000,2021-11-16,XRPBRL,6.487,6.487,5.85,6.074,1452523.0,8934648.907,4489
1636934400000,2021-11-15,XRPBRL,6.561,6.725,6.469,6.487,510226.0,3363041.348,1888
1636848000000,2021-11-14,XRPBRL,6.585,6.631,6.473,6.559,366937.0,2405388.691,1537
1636761600000,2021-11-13,XRPBRL,6.571,6.664,6.473,6.587,539242.0,3544445.572,1984
1636675200000,2021-11-12,XRPBRL,6.665,6.766,6.351,6.569,1145361.0,7481183.387,3277
1636588800000,2021-11-11,XRPBRL,6.679,6.99,6.573,6.665,999597.0,6732851.192,3658
1636502400000,2021-11-10,XRPBRL,6.977,7.444,6.3,6.645,3245806.0,22923847.689,8890
1636416000000,2021-11-09,XRPBRL,7.149,7.183,6.805,6.98,1254770.0,8753435.003,4416
1636329600000,2021-11-08,XRPBRL,6.85,7.223,6.844,7.154,2831526.0,19970809.581,8920
1636243200000,2021-11-07,XRPBRL,6.474,6.955,6.443,6.843,2013856.0,13598487.288,5287
1636156800000,2021-11-06,XRPBRL,6.516,6.61,6.188,6.477,1304013.0,8382748.494,3469
1636070400000,2021-11-05,XRPBRL,6.81,6.816,6.037,6.523,1790545.0,11700341.947,5144
1635984000000,2021-11-04,XRPBRL,6.809,7.076,6.56,6.81,1703083.0,11607175.581,6291
1635897600000,2021-11-03,XRPBRL,6.467,7.061,6.43,6.806,2797842.0,18904606.845,9858
1635811200000,2021-11-02,XRPBRL,6.269,6.547,6.227,6.471,1347880.0,8629369.599,6990
1635724800000,2021-11-01,XRPBRL,6.358,6.45,6.119,6.26,770869.0,4816218.416,3596
1635638400000,2021-10-31,XRPBRL,6.177,6.58,6.119,6.353,1916304.0,12120834.582,7204
1635552000000,2021-10-30,XRPBRL,6.175,6.361,6.079,6.177,829294.0,5140040.217,3238
1635465600000,2021-10-29,XRPBRL,6.022,6.202,5.99,6.161,1485083.0,9056164.087,3930
1635379200000,2021-10-28,XRPBRL,5.606,6.11,5.523,6.019,2627347.0,15482418.595,5813
