https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume SHIB,Volume BRL,tradecount
1631577600000,2021-09-14,SHIBBRL,3.4e-05,3.51e-05,3.372e-05,3.505e-05,18461920348.0,637165.57189386,2140
1631491200000,2021-09-13,SHIBBRL,3.666e-05,3.692e-05,3.265e-05,3.407e-05,22657250507.0,786988.38883017,2541
1631404800000,2021-09-12,SHIBBRL,3.604e-05,3.711e-05,3.532e-05,3.67e-05,16529303803.0,599171.84333823,1936
1631318400000,2021-09-11,SHIBBRL,3.717e-05,3.759e-05,3.583e-05,3.604e-05,21160894677.0,774456.66127441,2425
1631232000000,2021-09-10,SHIBBRL,3.85e-05,3.95e-05,3.445e-05,3.717e-05,55789732959.0,2069649.51873232,4079
1631145600000,2021-09-09,SHIBBRL,3.551e-05,4.149e-05,3.333e-05,3.85e-05,124670390112.0,4777252.43590001,8171
1631059200000,2021-09-08,SHIBBRL,3.209e-05,4.352e-05,2.865e-05,3.55e-05,162565584233.0,5985223.39150304,9830
1630972800000,2021-09-07,SHIBBRL,3.772e-05,3.778e-05,2.704e-05,3.209e-05,85288802736.0,2805709.98443973,7336
1630886400000,2021-09-06,SHIBBRL,3.924e-05,3.968e-05,3.655e-05,3.772e-05,29291462158.0,1116691.4938516,3619
1630800000000,2021-09-05,SHIBBRL,3.897e-05,3.958e-05,3.799e-05,3.924e-05,24761194344.0,960077.93518119,2957
1630713600000,2021-09-04,SHIBBRL,3.685e-05,4.002e-05,3.679e-05,3.892e-05,38131890835.0,1457643.50467015,3857
1630627200000,2021-09-03,SHIBBRL,3.698e-05,3.748e-05,3.6e-05,3.685e-05,28365587979.0,1044909.79982668,3699
