https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume LINK,Volume BRL,tradecount
1632787200000,2021-09-28,LINKBRL,125.0,128.9,120.5,120.9,9556.35,1193980.535,590
1632700800000,2021-09-27,LINKBRL,131.3,136.3,124.7,124.9,7239.06,935766.347,637
1632614400000,2021-09-26,LINKBRL,132.2,136.9,121.0,132.6,16549.92,2158685.948,1052
1632528000000,2021-09-25,LINKBRL,125.5,133.0,119.0,132.2,11073.82,1402646.424,721
1632441600000,2021-09-24,LINKBRL,136.0,136.0,115.0,125.1,20720.21,2564134.221,1422
1632355200000,2021-09-23,LINKBRL,131.0,135.9,124.8,135.7,12070.54,1571144.151,986
1632268800000,2021-09-22,LINKBRL,113.7,131.2,112.1,131.2,19675.66,2416051.97,1262
1632182400000,2021-09-21,LINKBRL,126.4,131.0,111.3,114.1,32034.85618,3938227.2764897,1879
1632096000000,2021-09-20,LINKBRL,145.5,145.5,124.2,126.0,37429.58,4944432.508,2288
1632009600000,2021-09-19,LINKBRL,150.8,152.5,143.5,145.6,15750.29,2338835.376,1009
1631923200000,2021-09-18,LINKBRL,147.8,156.0,146.5,151.1,17181.53,2617996.017,1086
1631836800000,2021-09-17,LINKBRL,157.7,159.0,146.3,147.7,11807.47,1797276.471,1121
1631750400000,2021-09-16,LINKBRL,161.0,168.2,154.2,158.1,13204.62,2124480.185,1420
1631664000000,2021-09-15,LINKBRL,162.2,165.3,155.9,161.6,18084.91,2917487.164,1777
1631577600000,2021-09-14,LINKBRL,141.1,162.3,139.9,162.2,14957.11,2247688.144,1621
1631491200000,2021-09-13,LINKBRL,156.0,158.8,133.4,141.2,21728.07,3126441.624,1686
1631404800000,2021-09-12,LINKBRL,143.4,157.9,140.7,155.7,10265.55,1560564.042,899
1631318400000,2021-09-11,LINKBRL,140.8,146.9,140.0,143.5,6790.96,977681.478,725
1631232000000,2021-09-10,LINKBRL,147.7,155.2,135.4,140.2,14547.77,2097868.695,1416
