https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume BTC,Volume BRL,tradecount
1670803200000,2022-12-12,BTCBRL,89608.0,90664.0,88716.0,90353.0,614.05441,55088688.29853,59073
1670716800000,2022-12-11,BTCBRL,89757.0,90343.0,89549.0,89623.0,124.62611,11201657.84102,16892
1670630400000,2022-12-10,BTCBRL,90045.0,90225.0,89115.0,89746.0,322.91061,29034301.7188,24155
1670544000000,2022-12-09,BTCBRL,90268.0,91001.0,89793.0,90024.0,361.88633,32641858.38535,27068
1670457600000,2022-12-08,BTCBRL,88376.0,90590.0,87736.0,90268.0,525.85212,46806526.19974,33027
1670371200000,2022-12-07,BTCBRL,89923.0,90137.0,88005.0,88375.0,582.76017,51830029.33795,34157
1670284800000,2022-12-06,BTCBRL,89431.0,90118.0,89200.0,89932.0,294.15036,26345374.63713,25389
1670198400000,2022-12-05,BTCBRL,89459.0,90700.0,89193.0,89391.0,316.54709,28478475.03376,28468
1670112000000,2022-12-04,BTCBRL,88582.0,89959.0,87500.0,89480.0,651.18072,57864079.29989,33595
1670025600000,2022-12-03,BTCBRL,89236.0,89579.0,88231.0,88607.0,385.32384,34293317.16574,23395
1669939200000,2022-12-02,BTCBRL,88567.0,89777.0,88004.0,89226.0,413.70838,36786037.41543,30444
1669852800000,2022-12-01,BTCBRL,90052.0,90435.0,88230.0,88555.0,502.17666,44812639.12308,44577
1669766400000,2022-11-30,BTCBRL,87597.0,90543.0,87505.0,90053.0,678.90555,60779176.28651,48035
1669680000000,2022-11-29,BTCBRL,87282.0,88900.0,86705.0,87597.0,680.59273,59687572.37911,33600
1669593600000,2022-11-28,BTCBRL,88477.0,88800.0,86206.0,87310.0,377.6869,33008583.15989,25134
1669507200000,2022-11-27,BTCBRL,88712.0,89321.0,88400.0,88506.0,126.57821,11265411.24845,12763
1669420800000,2022-11-26,BTCBRL,89305.0,90000.0,88301.0,88713.0,403.95543,36110338.67428,24482
1669334400000,2022-11-25,BTCBRL,89035.0,89877.0,87762.0,89248.0,473.27039,42114447.73867,26903
1669248000000,2022-11-24,BTCBRL,89265.0,90024.0,88048.0,89048.0,447.77104,39791857.22343,25213
1669161600000,2022-11-23,BTCBRL,87342.0,90000.0,86930.0,89278.0,504.59783,44739131.60918,31190
1669075200000,2022-11-22,BTCBRL,84316.0,87600.0,83351.0,87348.0,550.98654,47145052.68084,38499
1668988800000,2022-11-21,BTCBRL,88203.0,88284.0,83076.0,84322.0,1117.18911,96665521.98447,59342
1668902400000,2022-11-20,BTCBRL,90190.0,90444.0,87615.0,88218.0,191.51377,17113118.26448,18430
1668816000000,2022-11-19,BTCBRL,89835.0,90762.0,89300.0,90169.0,155.75717,14003561.16652,15059
1668729600000,2022-11-18,BTCBRL,89849.0,91450.0,89110.0,89845.0,436.32244,39209899.70257,31204
1668643200000,2022-11-17,BTCBRL,89136.0,90620.0,87692.0,89824.0,552.99928,49481266.17238,32656
1668556800000,2022-11-16,BTCBRL,89177.0,89706.0,86839.0,89126.0,470.07392,41494381.20943,29563
1668470400000,2022-11-15,BTCBRL,87987.0,90304.0,87678.0,89200.0,331.93218,29594808.6737,28551
1668384000000,2022-11-14,BTCBRL,85306.0,90858.0,83116.0,87975.0,566.61449,49407493.25294,36498
1668297600000,2022-11-13,BTCBRL,88420.0,89000.0,84562.0,85297.0,501.23055,43396223.43154,26511
1668211200000,2022-11-12,BTCBRL,90461.0,90859.0,87838.0,88469.0,286.22619,25523626.29271,17665
1668124800000,2022-11-11,BTCBRL,94436.0,94700.0,87663.0,90437.0,1414.58067,128257933.80499,47203
