Unix,Date,Symbol,Open,High,Low,Close,Volume AXS,Volume BRL,tradecount
1670025600000,2022-12-03,AXSBRL,36.7,43.3,35.1,35.4,39525.86,1664851.452,314
1669939200000,2022-12-02,AXSBRL,35.8,37.1,35.2,36.8,2175.17,79256.553,201
1669852800000,2022-12-01,AXSBRL,37.0,37.0,35.3,35.5,3320.61,119599.468,276
1669766400000,2022-11-30,AXSBRL,36.1,37.5,35.4,36.8,8015.11,292013.35,477
1669680000000,2022-11-29,AXSBRL,35.2,37.0,35.1,36.1,2866.32,103135.164,273
1669593600000,2022-11-28,AXSBRL,36.1,36.9,34.1,35.4,5052.38,177823.387,319
1669507200000,2022-11-27,AXSBRL,35.8,37.4,35.5,35.9,4276.5,156154.534,310
1669420800000,2022-11-26,AXSBRL,36.0,36.8,35.3,35.9,5492.42,199183.482,282
1669334400000,2022-11-25,AXSBRL,36.3,36.4,35.1,36.1,5036.47,179373.864,294
1669248000000,2022-11-24,AXSBRL,37.3,37.3,35.5,36.2,3108.87,113259.293,257
1669161600000,2022-11-23,AXSBRL,36.8,37.7,36.0,37.3,4370.37,160419.324,286
1669075200000,2022-11-22,AXSBRL,33.6,38.4,32.7,36.7,14066.44,497646.576,549
1668988800000,2022-11-21,AXSBRL,35.2,38.6,32.5,33.6,44393.29,1534701.278,868
1668902400000,2022-11-20,AXSBRL,38.5,38.8,35.2,35.6,6445.41,240587.513,377
1668816000000,2022-11-19,AXSBRL,38.6,38.8,37.5,38.5,3586.43,137034.609,284
1668729600000,2022-11-18,AXSBRL,38.7,39.1,37.7,38.7,7339.48,283545.499,383
1668643200000,2022-11-17,AXSBRL,38.1,39.3,37.0,38.6,8436.89,322265.22,468
1668556800000,2022-11-16,AXSBRL,38.0,38.5,36.6,37.9,7376.61,277804.607,510
1668470400000,2022-11-15,AXSBRL,38.4,39.1,37.2,38.1,7751.15,298113.778,520
1668384000000,2022-11-14,AXSBRL,36.6,40.0,35.7,38.5,81224.35,3092648.729,2434
1668297600000,2022-11-13,AXSBRL,34.3,77.0,32.9,36.7,177957.27,7198518.747,4464
1668211200000,2022-11-12,AXSBRL,37.4,37.5,34.0,34.0,14773.42,520359.017,569
1668124800000,2022-11-11,AXSBRL,39.3,43.8,35.5,37.4,236498.88,9688551.355,1476
1668038400000,2022-11-10,AXSBRL,31.6,42.5,31.5,39.3,23328.06,874175.872,1014
1667952000000,2022-11-09,AXSBRL,41.6,44.0,30.4,31.6,93810.55,3815149.463,1570
1667865600000,2022-11-08,AXSBRL,50.8,54.0,32.3,41.5,38153.34,1736078.414,915
1667779200000,2022-11-07,AXSBRL,50.3,60.1,48.6,50.5,50411.88,2791600.046,883
1667692800000,2022-11-06,AXSBRL,54.8,54.9,50.0,50.1,4619.8,246005.466,343
1667606400000,2022-11-05,AXSBRL,49.5,62.8,49.5,54.0,25744.37,1462361.941,1085
1667520000000,2022-11-04,AXSBRL,45.3,51.1,44.8,49.2,9529.74,455151.525,584
1667433600000,2022-11-03,AXSBRL,44.7,53.8,44.6,45.3,7707.05,364945.696,517
1667347200000,2022-11-02,AXSBRL,46.8,47.4,44.0,44.9,10852.51,493631.637,479
1667260800000,2022-11-01,AXSBRL,48.1,48.5,46.1,47.3,4179.77,199103.374,292
1667174400000,2022-10-31,AXSBRL,49.6,49.9,45.5,48.2,5217.32,251628.366,282
1667088000000,2022-10-30,AXSBRL,49.4,54.0,48.3,49.6,12646.3,641278.14,569
1667001600000,2022-10-29,AXSBRL,48.6,50.3,48.4,49.4,9982.38,493197.839,463
1666915200000,2022-10-28,AXSBRL,47.9,49.7,46.5,48.5,9080.69,432611.156,420
1666828800000,2022-10-27,AXSBRL,49.0,51.2,47.9,48.0,4814.66,236387.144,381
1666742400000,2022-10-26,AXSBRL,47.7,49.9,47.3,48.7,4825.74,234517.717,385
1666656000000,2022-10-25,AXSBRL,44.2,49.6,44.1,47.5,13401.98,637925.264,754
1666569600000,2022-10-24,AXSBRL,47.2,47.2,43.3,44.2,8549.45,382120.037,581
1666483200000,2022-10-23,AXSBRL,46.8,47.3,45.2,46.8,4073.27,188183.748,400
1666396800000,2022-10-22,AXSBRL,47.1,48.4,46.0,46.8,5151.66,242882.578,555
1666310400000,2022-10-21,AXSBRL,50.0,50.0,45.7,47.1,22782.76,1079209.677,1290
1666224000000,2022-10-20,AXSBRL,54.0,55.8,49.8,50.4,48094.85,2569064.353,814
1666137600000,2022-10-19,AXSBRL,57.5,58.0,53.5,53.9,118385.04,6634262.46,1133
1666051200000,2022-10-18,AXSBRL,59.4,59.6,57.0,57.7,2398.09,139584.751,212
1665964800000,2022-10-17,AXSBRL,58.6,59.3,57.6,59.0,3128.87,182936.949,248
1665878400000,2022-10-16,AXSBRL,58.9,61.5,57.7,58.6,4318.75,253157.286,305
1665792000000,2022-10-15,AXSBRL,57.8,59.0,57.2,57.5,2068.94,119931.273,243
1665705600000,2022-10-14,AXSBRL,58.4,60.9,56.6,57.8,6026.84,355282.542,333
1665619200000,2022-10-13,AXSBRL,61.2,61.2,54.0,58.4,6270.44,361359.637,505
1665532800000,2022-10-12,AXSBRL,60.9,62.8,60.2,61.2,3354.92,205517.768,271
1665446400000,2022-10-11,AXSBRL,62.0,62.9,60.2,60.9,6194.48,378865.68,445
1665360000000,2022-10-10,AXSBRL,65.0,67.3,62.4,62.5,6221.32,397619.795,421
1665273600000,2022-10-09,AXSBRL,64.8,66.9,64.5,64.9,4322.52,282756.017,265
1665187200000,2022-10-08,AXSBRL,65.4,66.8,64.2,65.0,3551.56,231991.013,302
1665100800000,2022-10-07,AXSBRL,66.8,67.4,64.1,65.2,5903.37,384109.767,393
1665014400000,2022-10-06,AXSBRL,66.9,68.5,66.4,66.7,3724.92,250774.481,333
1664928000000,2022-10-05,AXSBRL,67.8,67.9,65.8,66.7,1055.93,70213.479,187
1664841600000,2022-10-04,AXSBRL,66.3,68.3,65.4,67.5,1756.03,116700.169,235
1664755200000,2022-10-03,AXSBRL,65.0,67.2,64.2,65.6,1861.81,121354.84,229
1664668800000,2022-10-02,AXSBRL,67.7,67.8,65.0,65.6,4778.91,316847.689,220
1664582400000,2022-10-01,AXSBRL,67.8,68.9,67.2,67.8,1859.87,126485.969,304
1664496000000,2022-09-30,AXSBRL,68.4,72.1,67.1,67.7,4368.43,298037.759,1005
1664409600000,2022-09-29,AXSBRL,67.0,68.7,65.7,68.7,6087.14,405992.794,1421
1664323200000,2022-09-28,AXSBRL,66.3,70.0,63.7,66.9,7110.88,471702.5,1136
1664236800000,2022-09-27,AXSBRL,66.2,68.3,64.9,66.0,5127.59,343366.499,1066
1664150400000,2022-09-26,AXSBRL,64.7,66.4,63.4,66.4,4261.42,275665.22,905
1664064000000,2022-09-25,AXSBRL,66.4,67.7,64.1,64.6,4528.03,295455.068,565
1663977600000,2022-09-24,AXSBRL,69.3,71.7,65.5,66.5,10349.15,726215.274,571
1663891200000,2022-09-23,AXSBRL,63.6,70.8,63.4,68.5,14879.71,983736.846,1236
1663804800000,2022-09-22,AXSBRL,61.6,64.2,60.8,63.6,6593.96,412961.65,1098
1663718400000,2022-09-21,AXSBRL,64.4,66.8,60.8,61.6,12335.67,788457.989,518
1663632000000,2022-09-20,AXSBRL,64.5,66.6,62.8,64.3,7814.67,502044.051,440
1663545600000,2022-09-19,AXSBRL,63.8,65.5,60.3,63.8,7967.94,505187.043,475
1663459200000,2022-09-18,AXSBRL,69.5,70.0,63.0,63.6,4019.54,272612.949,346
1663372800000,2022-09-17,AXSBRL,67.6,70.1,67.5,69.4,1430.63,98095.926,220
1663286400000,2022-09-16,AXSBRL,66.5,68.1,65.6,67.7,2047.21,137363.651,310
1663200000000,2022-09-15,AXSBRL,69.1,69.2,65.0,66.8,14158.77,952019.701,615
1663113600000,2022-09-14,AXSBRL,68.4,69.7,67.0,69.2,2542.96,174691.329,331
1663027200000,2022-09-13,AXSBRL,72.5,73.8,68.0,68.7,6545.07,459959.802,493
1662940800000,2022-09-12,AXSBRL,74.8,77.7,72.2,72.5,6814.82,510602.647,426
1662854400000,2022-09-11,AXSBRL,76.3,76.4,73.0,75.2,7749.93,580064.016,436
1662768000000,2022-09-10,AXSBRL,75.9,77.0,74.1,76.0,7043.13,532791.023,359
1662681600000,2022-09-09,AXSBRL,72.5,82.0,72.0,76.3,9919.93,756445.528,778
