Unix,Date,Symbol,Open,High,Low,Close,Volume ETH,Volume BRL,tradecount
1647388800000,2022-03-16,ETHBRL,13469.99,14215.9,13356.13,14113.89,2722.1426,37608404.298075,11607
1647302400000,2022-03-15,ETHBRL,13242.58,13729.69,12862.36,13471.36,2212.8891,29405348.877805,9668
1647216000000,2022-03-14,ETHBRL,12847.47,13283.28,12762.84,13241.06,1688.9336,22074694.806079,7566
1647129600000,2022-03-13,ETHBRL,13078.95,13254.58,12730.0,12854.95,866.4428,11282504.619258,5370
1647043200000,2022-03-12,ETHBRL,13006.74,13312.09,12998.1,13081.37,1356.4027,17847303.775394,6625
1646956800000,2022-03-11,ETHBRL,13172.44,13462.17,12748.38,13002.5,2151.6182,28135199.769464,8472
1646870400000,2022-03-10,ETHBRL,13749.03,13778.82,12977.69,13157.94,1775.4514,23470566.558516,8572
1646784000000,2022-03-09,ETHBRL,13152.39,14073.1,13104.0,13749.03,2128.6196,29216398.910404,9939
1646697600000,2022-03-08,ETHBRL,12801.28,13369.49,12756.17,13148.57,2080.1858,27282291.686653,8831
1646611200000,2022-03-07,ETHBRL,13051.73,13455.0,12510.47,12818.01,2508.744,32590527.467914,12725
1646524800000,2022-03-06,ETHBRL,13621.42,13699.99,12972.78,13062.4,960.8998,12876020.309686,5560
1646438400000,2022-03-05,ETHBRL,13397.55,13745.33,13239.83,13636.31,1157.12,15673212.090518,6426
1646352000000,2022-03-04,ETHBRL,14353.28,14353.59,13168.4,13397.16,2501.382,34246064.173869,11597
1646265600000,2022-03-03,ETHBRL,15117.16,15221.56,14140.81,14352.42,2032.3191,29692161.537771,9099
1646179200000,2022-03-02,ETHBRL,15332.5,15613.39,14966.37,15117.16,2905.8182,44402535.646009,12056
1646092800000,2022-03-01,ETHBRL,15060.71,15680.3,14715.95,15320.0,2325.7593,35294003.90503,11733
1646006400000,2022-02-28,ETHBRL,13633.14,15236.84,13384.54,15077.45,2907.6925,41380578.778831,12527
1645920000000,2022-02-27,ETHBRL,14457.04,14734.59,13348.95,13633.92,2379.1864,33422365.121666,9351
1645833600000,2022-02-26,ETHBRL,14388.66,14915.82,14160.68,14442.23,1588.5069,23082030.869615,7600
1645747200000,2022-02-25,ETHBRL,13392.31,14726.62,13254.4,14380.91,3145.4786,43739510.350311,13521
1645660800000,2022-02-24,ETHBRL,13018.95,13963.0,11578.21,13392.31,6219.90544,78346177.297311,28538
1645574400000,2022-02-23,ETHBRL,13463.69,13992.29,13010.0,13010.0,2358.1338,31966845.759765,11072
1645488000000,2022-02-22,ETHBRL,13247.83,13574.89,12894.8,13459.93,2698.4637,35856371.712145,12597
1645401600000,2022-02-21,ETHBRL,13614.12,14316.17,13200.0,13248.44,3181.7605,43632811.520645,14584
1645315200000,2022-02-20,ETHBRL,14342.6,14353.1,13383.53,13599.34,1545.0463,21199837.554378,9039
1645228800000,2022-02-19,ETHBRL,14409.78,14674.04,13987.22,14335.83,1117.328,16001425.176518,6797
