Unix,Date,Symbol,Open,High,Low,Close,Volume FIS,Volume BRL,tradecount
1671494400000,2022-12-20,FISBRL,1.262,1.294,1.246,1.292,11916.8,15209.4401,35
1671408000000,2022-12-19,FISBRL,1.319,1.32,1.249,1.258,22308.3,29100.4841,59
1671321600000,2022-12-18,FISBRL,1.313,1.321,1.305,1.305,1489.4,1962.9784,6
1671235200000,2022-12-17,FISBRL,1.342,1.342,1.234,1.297,19331.8,24900.4394,75
1671148800000,2022-12-16,FISBRL,1.506,1.506,1.311,1.327,8685.0,12306.4496,72
1671062400000,2022-12-15,FISBRL,1.507,1.531,1.505,1.505,16823.3,25476.8139,23
1670976000000,2022-12-14,FISBRL,1.544,1.559,1.507,1.522,26006.8,39825.3183,60
1670889600000,2022-12-13,FISBRL,1.533,1.569,1.46,1.506,35857.6,53698.9473,93
1670803200000,2022-12-12,FISBRL,1.578,1.578,1.501,1.533,110567.0,171327.0757,279
1670716800000,2022-12-11,FISBRL,1.587,1.614,1.567,1.578,165454.6,262749.2628,274
1670630400000,2022-12-10,FISBRL,1.598,1.7,1.567,1.608,115458.4,189579.0951,265
1670544000000,2022-12-09,FISBRL,1.58,1.605,1.56,1.56,58750.6,93730.397,169
1670457600000,2022-12-08,FISBRL,1.56,1.603,1.531,1.58,105002.3,162919.461,253
1670371200000,2022-12-07,FISBRL,1.628,1.79,1.54,1.556,693133.2,1135753.0553,844
1670284800000,2022-12-06,FISBRL,1.624,1.631,1.598,1.628,39822.2,63952.7133,166
1670198400000,2022-12-05,FISBRL,1.612,1.64,1.595,1.627,32409.1,52401.8096,136
1670112000000,2022-12-04,FISBRL,1.6,1.957,1.565,1.612,1217583.4,2234557.5565,594
1670025600000,2022-12-03,FISBRL,1.623,1.738,1.588,1.588,164609.5,265244.1438,308
1669939200000,2022-12-02,FISBRL,1.582,2.05,1.565,1.623,1132400.0,2153473.4563,700
1669852800000,2022-12-01,FISBRL,1.627,1.71,1.551,1.583,141766.6,232631.4797,470
1669766400000,2022-11-30,FISBRL,1.613,1.657,1.592,1.623,142426.1,230387.9302,472
1669680000000,2022-11-29,FISBRL,1.554,1.635,1.551,1.613,117020.9,187765.1243,226
1669593600000,2022-11-28,FISBRL,1.602,1.602,1.5,1.55,231312.8,358762.4558,405
1669507200000,2022-11-27,FISBRL,1.563,1.711,1.563,1.598,434523.7,708563.0796,817
1669420800000,2022-11-26,FISBRL,1.544,1.613,1.495,1.554,376850.0,586558.8391,674
1669334400000,2022-11-25,FISBRL,1.522,1.554,1.486,1.534,92872.7,141537.9022,166
1669248000000,2022-11-24,FISBRL,1.509,1.576,1.502,1.502,27854.7,42575.5883,71
1669161600000,2022-11-23,FISBRL,1.469,1.532,1.469,1.524,1139396.6,1711012.2914,766
1669075200000,2022-11-22,FISBRL,1.414,1.589,1.331,1.469,2789824.9,4035857.0323,1351
1668988800000,2022-11-21,FISBRL,1.421,1.499,1.36,1.401,175796.3,246694.9638,334
1668902400000,2022-11-20,FISBRL,1.513,1.589,1.398,1.453,177633.0,268400.6092,382
1668816000000,2022-11-19,FISBRL,1.476,1.56,1.41,1.528,148004.2,220707.2545,295
1668729600000,2022-11-18,FISBRL,1.511,1.526,1.46,1.473,159849.8,238171.556,286
1668643200000,2022-11-17,FISBRL,1.475,1.52,1.422,1.489,19554.5,28976.2417,87
1668556800000,2022-11-16,FISBRL,1.409,1.645,1.409,1.48,1516655.2,2235889.8484,1000
1668470400000,2022-11-15,FISBRL,1.424,1.487,1.403,1.439,916149.2,1324928.7098,510
1668384000000,2022-11-14,FISBRL,1.445,1.625,1.236,1.425,434803.5,659564.1235,316
1668297600000,2022-11-13,FISBRL,1.403,1.481,1.312,1.377,764972.6,1080172.7564,620
1668211200000,2022-11-12,FISBRL,1.395,1.465,1.35,1.39,54764.8,76686.5907,79
1668124800000,2022-11-11,FISBRL,1.505,1.599,1.339,1.4,470217.7,675720.0929,334
1668038400000,2022-11-10,FISBRL,1.279,1.579,1.266,1.506,444227.6,647897.3695,514
1667952000000,2022-11-09,FISBRL,1.668,1.668,1.15,1.15,242476.9,355508.2833,709
