Unix,Date,Symbol,Open,High,Low,Close,Volume WIN,Volume BRL,tradecount
1650240000000,2022-04-18,WINBRL,0.001351,0.00136,0.001302,0.001342,2996518725.0,3975762.156191,3011
1650153600000,2022-04-17,WINBRL,0.00139,0.001398,0.001346,0.001351,3728180462.0,5172181.086378,3883
1650067200000,2022-04-16,WINBRL,0.001405,0.001409,0.001375,0.00139,3844218447.0,5333146.837456,4275
1649980800000,2022-04-15,WINBRL,0.00139,0.001428,0.001382,0.001407,5291403165.0,7445246.170031,5770
1649894400000,2022-04-14,WINBRL,0.001427,0.001457,0.001366,0.00139,5740285176.0,8116628.457079,6246
1649808000000,2022-04-13,WINBRL,0.001387,0.001487,0.001361,0.00143,6096835999.0,8634741.679157,6588
1649721600000,2022-04-12,WINBRL,0.001325,0.001395,0.001318,0.001383,6470853523.0,8812844.717091,6823
1649635200000,2022-04-11,WINBRL,0.001465,0.001471,0.001319,0.001328,5151647773.0,7130565.25131,6276
1649548800000,2022-04-10,WINBRL,0.001499,0.001516,0.001466,0.001466,4445146752.0,6618357.97934,5359
1649462400000,2022-04-09,WINBRL,0.001475,0.001517,0.001471,0.0015,5464729154.0,8137113.322588,6693
1649376000000,2022-04-08,WINBRL,0.001545,0.001558,0.001469,0.001477,3570273470.0,5452122.821717,4943
1649289600000,2022-04-07,WINBRL,0.001511,0.001554,0.001491,0.00155,5632877594.0,8600651.598676,6728
1649203200000,2022-04-06,WINBRL,0.001642,0.001642,0.001489,0.001509,4029372581.0,6277890.851078,5839
1649116800000,2022-04-05,WINBRL,0.001661,0.001684,0.00164,0.001647,3727329253.0,6205083.202687,5662
1649030400000,2022-04-04,WINBRL,0.001731,0.001742,0.001627,0.001665,4279736704.0,7216968.552943,6362
1648944000000,2022-04-03,WINBRL,0.001722,0.001768,0.001682,0.001733,2672439625.0,4566245.194992,3785
1648857600000,2022-04-02,WINBRL,0.001746,0.001835,0.001695,0.001723,1909874550.0,3335233.307225,3391
1648771200000,2022-04-01,WINBRL,0.001783,0.001798,0.001678,0.001746,2047743424.0,3557129.478066,3721
1648684800000,2022-03-31,WINBRL,0.001646,0.001982,0.001643,0.00178,3314117026.0,5922132.413361,5886
1648598400000,2022-03-30,WINBRL,0.001595,0.00167,0.001553,0.001643,2618017464.0,4237223.401836,3872
1648512000000,2022-03-29,WINBRL,0.001581,0.001677,0.001566,0.001595,2589839740.0,4201572.668505,3862
1648425600000,2022-03-28,WINBRL,0.001676,0.0017,0.001573,0.001573,2444830704.0,4039953.137831,3962
1648339200000,2022-03-27,WINBRL,0.001497,0.001768,0.001476,0.001676,3155768543.0,4884745.568514,4975
1648252800000,2022-03-26,WINBRL,0.001425,0.001499,0.001415,0.001498,2751040145.0,3991944.417602,3527
1648166400000,2022-03-25,WINBRL,0.001484,0.001514,0.001415,0.001425,2832485027.0,4156508.110762,3771
1648080000000,2022-03-24,WINBRL,0.001463,0.001547,0.001441,0.001484,3070948883.0,4544581.842857,4284
1647993600000,2022-03-23,WINBRL,0.001471,0.001565,0.001432,0.001461,3091558391.0,4534596.157651,3771
1647907200000,2022-03-22,WINBRL,0.001387,0.001623,0.001378,0.001476,2497664341.0,3653029.984324,3255
1647820800000,2022-03-21,WINBRL,0.001375,0.001439,0.00135,0.001387,2691749233.0,3710360.113417,3062
1647734400000,2022-03-20,WINBRL,0.001445,0.001446,0.001356,0.001375,2561111869.0,3577501.851099,2851
1647648000000,2022-03-19,WINBRL,0.001369,0.001455,0.001348,0.001452,2981597910.0,4188964.682288,3018
1647561600000,2022-03-18,WINBRL,0.001354,0.00137,0.001324,0.00137,2380780790.0,3196051.468962,2609
