Unix,Date,Symbol,Open,High,Low,Close,Volume LTC,Volume BRL,tradecount
1685750400000,2023-06-03,LTCBRL,475.9,486.4,470.6,480.6,958.569,460845.4233,912
1685664000000,2023-06-02,LTCBRL,475.2,482.0,465.1,476.3,1198.004,568576.1453,1034
1685577600000,2023-06-01,LTCBRL,459.8,485.0,455.0,473.7,1844.977,873892.89,1409
1685491200000,2023-05-31,LTCBRL,467.3,469.0,448.0,459.8,1210.831,553269.8557,995
1685404800000,2023-05-30,LTCBRL,459.5,472.1,457.7,468.1,1363.93,635810.8218,1063
1685318400000,2023-05-29,LTCBRL,460.0,462.3,453.9,459.2,1108.826,508242.9477,867
1685232000000,2023-05-28,LTCBRL,445.7,464.1,444.4,460.4,1205.627,544710.9337,987
1685145600000,2023-05-27,LTCBRL,437.8,447.3,436.4,446.0,860.455,380837.5308,815
1685059200000,2023-05-26,LTCBRL,437.2,443.7,433.0,438.4,1855.65,814524.4977,1306
1684972800000,2023-05-25,LTCBRL,428.3,436.4,412.6,435.2,1772.769,754075.8946,1368
1684886400000,2023-05-24,LTCBRL,458.1,459.4,421.7,428.3,2480.497,1076590.1596,1785
1684800000000,2023-05-23,LTCBRL,453.8,464.8,452.2,458.3,1279.318,584221.5326,949
1684713600000,2023-05-22,LTCBRL,462.8,465.7,451.7,454.0,1181.863,539076.4719,976
1684627200000,2023-05-21,LTCBRL,461.6,466.6,458.0,463.0,815.19,376632.1587,775
1684540800000,2023-05-20,LTCBRL,459.4,465.4,454.9,461.9,798.199,367015.676,735
1684454400000,2023-05-19,LTCBRL,452.2,468.1,451.9,459.1,1634.263,753032.5112,1103
1684368000000,2023-05-18,LTCBRL,466.3,467.8,447.0,451.6,1391.169,635687.3954,1114
1684281600000,2023-05-17,LTCBRL,449.8,472.5,446.5,465.9,1864.835,860655.8578,1435
1684195200000,2023-05-16,LTCBRL,428.9,449.6,425.8,447.1,1493.23,656379.7262,1215
1684108800000,2023-05-15,LTCBRL,416.5,438.1,409.6,429.0,1756.844,755983.8201,1353
1684022400000,2023-05-14,LTCBRL,397.4,417.1,394.6,416.0,1316.685,536536.3236,879
1683936000000,2023-05-13,LTCBRL,400.4,403.6,397.0,398.2,893.587,357685.3397,778
